env,agent,run_dir,seed,checkpoint,side,mean_reward,std_reward,mean_steps,std_steps,mean_action_time_ms,std_action_time_ms,win_rate,draw_rate,loss_rate,termination_rate,truncation_rate,num_games
bobail,ddqn,"results/bobail/ddqn/batch_size64_buffer_capacity50000_epsilon_decay_steps80000_epsilon_end0.05_epsilon_start1.0_gamma0.99_hidden_layers[256, 128]_lr0.0001_target_update_freq1000_seed42",42,50000,p0,-0.72,0.6939740629158988,536.06,390.32255430605085,0.03334100812921115,0.012671097075856102,0.14,0.0,0.86,1.0,0.0,50
bobail,ddqn,"results/bobail/ddqn/batch_size64_buffer_capacity50000_epsilon_decay_steps80000_epsilon_end0.05_epsilon_start1.0_gamma0.99_hidden_layers[256, 128]_lr0.0001_target_update_freq1000_seed42",42,50000,p1,-0.8,0.6,588.44,526.8186465948221,0.03285557659012797,0.00876405978149417,0.1,0.0,0.9,1.0,0.0,50
bobail,ddqn,"results/bobail/ddqn/batch_size64_buffer_capacity50000_epsilon_decay_steps80000_epsilon_end0.05_epsilon_start1.0_gamma0.99_hidden_layers[256, 128]_lr0.0001_target_update_freq1000_seed42",42,100000,combined,-0.84,,445.49,,0.03360340377919619,,0.08,0.0,0.92,1.0,0.0,100
bobail,ddqn,"results/bobail/ddqn/batch_size64_buffer_capacity50000_epsilon_decay_steps80000_epsilon_end0.05_epsilon_start1.0_gamma0.99_hidden_layers[256, 128]_lr0.0001_target_update_freq1000_seed42",42,100000,p0,-0.76,0.6499230723708769,466.24,363.1892377260097,0.03317901990113494,0.00743693016104425,0.12,0.0,0.88,1.0,0.0,50
bobail,ddqn,"results/bobail/ddqn/batch_size64_buffer_capacity50000_epsilon_decay_steps80000_epsilon_end0.05_epsilon_start1.0_gamma0.99_hidden_layers[256, 128]_lr0.0001_target_update_freq1000_seed42",42,100000,p1,-0.92,0.3919183588453085,424.74,438.29537118249385,0.03402778765725743,0.01102601383959718,0.04,0.0,0.96,1.0,0.0,50
bobail,ddqn_er,"results/bobail/ddqn_er/batch_size64_buffer_capacity50000_epsilon_decay_steps100000_epsilon_end0.05_epsilon_start1.0_gamma0.99_hidden_layers[256, 128]_learning_starts5000_lr0.0005_target_update_freq500_seed42",42,1000,combined,-1.0,,30.72,,0.033884666584792125,,0.0,0.0,1.0,1.0,0.0,100
bobail,ddqn_er,"results/bobail/ddqn_er/batch_size64_buffer_capacity50000_epsilon_decay_steps100000_epsilon_end0.05_epsilon_start1.0_gamma0.99_hidden_layers[256, 128]_learning_starts5000_lr0.0005_target_update_freq500_seed42",42,1000,p0,-1.0,0.0,25.84,24.238283767626783,0.03381031152688474,0.008848876877567658,0.0,0.0,1.0,1.0,0.0,50
bobail,ddqn_er,"results/bobail/ddqn_er/batch_size64_buffer_capacity50000_epsilon_decay_steps100000_epsilon_end0.05_epsilon_start1.0_gamma0.99_hidden_layers[256, 128]_learning_starts5000_lr0.0005_target_update_freq500_seed42",42,1000,p1,-1.0,0.0,35.6,29.36392344357273,0.033959021642699504,0.006849259183119101,0.0,0.0,1.0,1.0,0.0,50
bobail,ddqn_er,"results/bobail/ddqn_er/batch_size64_buffer_capacity50000_epsilon_decay_steps100000_epsilon_end0.05_epsilon_start1.0_gamma0.99_hidden_layers[256, 128]_learning_starts5000_lr0.0005_target_update_freq500_seed42",42,10000,combined,-0.94,,306.48,,0.03592323110569631,,0.03,0.0,0.97,1.0,0.0,100
bobail,ddqn_er,"results/bobail/ddqn_er/batch_size64_buffer_capacity50000_epsilon_decay_steps100000_epsilon_end0.05_epsilon_start1.0_gamma0.99_hidden_layers[256, 128]_learning_starts5000_lr0.0005_target_update_freq500_seed42",42,10000,p0,-0.92,0.39191835884530857,181.14,228.45095841339779,0.037972328681214924,0.037997824687497246,0.04,0.0,0.96,1.0,0.0,50
bobail,ddqn_er,"results/bobail/ddqn_er/batch_size64_buffer_capacity50000_epsilon_decay_steps100000_epsilon_end0.05_epsilon_start1.0_gamma0.99_hidden_layers[256, 128]_learning_starts5000_lr0.0005_target_update_freq500_seed42",42,10000,p1,-0.96,0.27999999999999997,431.82,393.27963028867896,0.033874133530177694,0.01809460721801334,0.02,0.0,0.98,1.0,0.0,50
bobail,ddqn_er,"results/bobail/ddqn_er/batch_size64_buffer_capacity50000_epsilon_decay_steps100000_epsilon_end0.05_epsilon_start1.0_gamma0.99_hidden_layers[256, 128]_learning_starts5000_lr0.0005_target_update_freq500_seed42",42,50000,combined,-0.9,,215.55,,0.033384520151156956,,0.05,0.0,0.95,1.0,0.0,100
bobail,ddqn_er,"results/bobail/ddqn_er/batch_size64_buffer_capacity50000_epsilon_decay_steps100000_epsilon_end0.05_epsilon_start1.0_gamma0.99_hidden_layers[256, 128]_learning_starts5000_lr0.0005_target_update_freq500_seed42",42,50000,p0,-0.8,0.6,184.7,140.77730640980457,0.033805447269310965,0.006609366926255784,0.1,0.0,0.9,1.0,0.0,50
bobail,ddqn_er,"results/bobail/ddqn_er/batch_size64_buffer_capacity50000_epsilon_decay_steps100000_epsilon_end0.05_epsilon_start1.0_gamma0.99_hidden_layers[256, 128]_learning_starts5000_lr0.0005_target_update_freq500_seed42",42,50000,p1,-1.0,0.0,246.4,241.28273871124725,0.03296359303300295,0.005359067521216939,0.0,0.0,1.0,1.0,0.0,50
bobail,ddqn_er,"results/bobail/ddqn_er/batch_size64_buffer_capacity50000_epsilon_decay_steps80000_epsilon_end0.05_epsilon_start1.0_gamma0.99_hidden_layers[256, 128]_learning_starts5000_lr0.0001_target_update_freq1000_seed123",123,1000,combined,-0.78,,84.71,,0.03220449858508026,,0.11,0.0,0.89,1.0,0.0,100
bobail,ddqn_er,"results/bobail/ddqn_er/batch_size64_buffer_capacity50000_epsilon_decay_steps80000_epsilon_end0.05_epsilon_start1.0_gamma0.99_hidden_layers[256, 128]_learning_starts5000_lr0.0001_target_update_freq1000_seed123",123,1000,p0,-0.88,0.4749736834815167,101.88,90.17974051858877,0.031920613344023054,0.0026005714874003443,0.06,0.0,0.94,1.0,0.0,50
bobail,ddqn_er,"results/bobail/ddqn_er/batch_size64_buffer_capacity50000_epsilon_decay_steps80000_epsilon_end0.05_epsilon_start1.0_gamma0.99_hidden_layers[256, 128]_learning_starts5000_lr0.0001_target_update_freq1000_seed123",123,1000,p1,-0.68,0.7332121111929344,67.54,64.70771515051355,0.03248838382613746,0.0045796602139021435,0.16,0.0,0.84,1.0,0.0,50
bobail,ddqn_er,"results/bobail/ddqn_er/batch_size64_buffer_capacity50000_epsilon_decay_steps80000_epsilon_end0.05_epsilon_start1.0_gamma0.99_hidden_layers[256, 128]_learning_starts5000_lr0.0001_target_update_freq1000_seed123",123,10000,combined,-0.62,,447.06,,0.0323244255291594,,0.19,0.0,0.81,1.0,0.0,100
bobail,ddqn_er,"results/bobail/ddqn_er/batch_size64_buffer_capacity50000_epsilon_decay_steps80000_epsilon_end0.05_epsilon_start1.0_gamma0.99_hidden_layers[256, 128]_learning_starts5000_lr0.0001_target_update_freq1000_seed123",123,10000,p0,-0.56,0.8284926070883192,473.1,450.0942234688199,0.0318937757580165,0.004372517229251409,0.22,0.0,0.78,1.0,0.0,50
bobail,ddqn_er,"results/bobail/ddqn_er/batch_size64_buffer_capacity50000_epsilon_decay_steps80000_epsilon_end0.05_epsilon_start1.0_gamma0.99_hidden_layers[256, 128]_learning_starts5000_lr0.0001_target_update_freq1000_seed123",123,10000,p1,-0.68,0.7332121111929345,421.02,360.22212536156076,0.0327550753003023,0.007890656066587474,0.16,0.0,0.84,1.0,0.0,50
bobail,ddqn_er,"results/bobail/ddqn_er/batch_size64_buffer_capacity50000_epsilon_decay_steps80000_epsilon_end0.05_epsilon_start1.0_gamma0.99_hidden_layers[256, 128]_learning_starts5000_lr0.0001_target_update_freq1000_seed123",123,50000,combined,-0.62,,524.49,,0.03216300268753685,,0.19,0.0,0.81,1.0,0.0,100
bobail,ddqn_er,"results/bobail/ddqn_er/batch_size64_buffer_capacity50000_epsilon_decay_steps80000_epsilon_end0.05_epsilon_start1.0_gamma0.99_hidden_layers[256, 128]_learning_starts5000_lr0.0001_target_update_freq1000_seed123",123,50000,p0,-0.6,0.8,369.26,373.47009572387446,0.03196122192269149,0.003302827190312354,0.2,0.0,0.8,1.0,0.0,50
bobail,ddqn_er,"results/bobail/ddqn_er/batch_size64_buffer_capacity50000_epsilon_decay_steps80000_epsilon_end0.05_epsilon_start1.0_gamma0.99_hidden_layers[256, 128]_learning_starts5000_lr0.0001_target_update_freq1000_seed123",123,50000,p1,-0.64,0.7683749084919419,679.72,540.8570250999796,0.03236478345238221,0.005140347341018474,0.18,0.0,0.82,1.0,0.0,50
bobail,ddqn_er,"results/bobail/ddqn_er/batch_size64_buffer_capacity50000_epsilon_decay_steps80000_epsilon_end0.05_epsilon_start1.0_gamma0.99_hidden_layers[256, 128]_learning_starts5000_lr0.0001_target_update_freq1000_seed123",123,100000,combined,-0.5,,528.39,,0.03221751848294627,,0.25,0.0,0.75,1.0,0.0,100
bobail,ddqn_er,"results/bobail/ddqn_er/batch_size64_buffer_capacity50000_epsilon_decay_steps80000_epsilon_end0.05_epsilon_start1.0_gamma0.99_hidden_layers[256, 128]_learning_starts5000_lr0.0001_target_update_freq1000_seed123",123,100000,p0,-0.48,0.8772684879784524,342.34,251.04649848185494,0.03213360958149106,0.003155185013141704,0.26,0.0,0.74,1.0,0.0,50
bobail,ddqn_er,"results/bobail/ddqn_er/batch_size64_buffer_capacity50000_epsilon_decay_steps80000_epsilon_end0.05_epsilon_start1.0_gamma0.99_hidden_layers[256, 128]_learning_starts5000_lr0.0001_target_update_freq1000_seed123",123,100000,p1,-0.52,0.854166260162505,714.44,550.9426888524795,0.03230142738440148,0.005431389357094556,0.24,0.0,0.76,1.0,0.0,50
bobail,ddqn_er,"results/bobail/ddqn_er/batch_size64_buffer_capacity50000_epsilon_decay_steps80000_epsilon_end0.05_epsilon_start1.0_gamma0.99_hidden_layers[256, 128]_learning_starts5000_lr0.0001_target_update_freq1000_seed42",42,1000,combined,-0.36,,76.61,,0.032205063094647886,,0.32,0.0,0.68,1.0,0.0,100
bobail,ddqn_er,"results/bobail/ddqn_er/batch_size64_buffer_capacity50000_epsilon_decay_steps80000_epsilon_end0.05_epsilon_start1.0_gamma0.99_hidden_layers[256, 128]_learning_starts5000_lr0.0001_target_update_freq1000_seed42",42,1000,p0,-0.32,0.947417542586161,85.66,86.93068733191978,0.03240600404808527,0.0032554751227154236,0.34,0.0,0.66,1.0,0.0,50
bobail,ddqn_er,"results/bobail/ddqn_er/batch_size64_buffer_capacity50000_epsilon_decay_steps80000_epsilon_end0.05_epsilon_start1.0_gamma0.99_hidden_layers[256, 128]_learning_starts5000_lr0.0001_target_update_freq1000_seed42",42,1000,p1,-0.4,0.9165151389911679,67.56,60.526080329061465,0.0320041221412105,0.0028206811781226904,0.3,0.0,0.7,1.0,0.0,50
